2024-02-29 22:29:52,541 - INFO - 训练的batch_size以及lr分别是100,0
2024-02-29 22:56:55,143 - INFO - epoch: 1, batch: 2300 loss: 1.151, acc: 70.3000
2024-02-29 22:57:11,780 - INFO - epoch: 1, batch: 2400 loss: 1.110, acc: 71.2600
2024-02-29 22:57:30,167 - INFO - epoch: 1, batch: 2500 loss: 1.118, acc: 71.0500
2024-02-29 22:57:48,737 - INFO - epoch: 1, batch: 2600 loss: 1.073, acc: 71.5800
2024-02-29 22:58:04,916 - INFO - epoch: 1, batch: 2700 loss: 1.070, acc: 72.4100
2024-02-29 22:58:23,050 - INFO - epoch: 1, batch: 2800 loss: 1.035, acc: 72.8900
2024-02-29 22:58:41,485 - INFO - epoch: 1, batch: 2900 loss: 1.032, acc: 73.6100
2024-02-29 22:59:00,015 - INFO - epoch: 1, batch: 3000 loss: 1.019, acc: 73.3200
2024-02-29 22:59:18,317 - INFO - epoch: 1, batch: 3100 loss: 1.010, acc: 73.5700
2024-02-29 22:59:36,409 - INFO - epoch: 1, batch: 3200 loss: 0.971, acc: 74.4200
2024-02-29 22:59:55,043 - INFO - epoch: 1, batch: 3300 loss: 0.963, acc: 74.2600
2024-02-29 23:00:11,155 - INFO - epoch: 1, batch: 3400 loss: 0.957, acc: 74.6500
2024-02-29 23:00:29,290 - INFO - epoch: 1, batch: 3500 loss: 0.934, acc: 75.0100
2024-02-29 23:00:47,700 - INFO - epoch: 1, batch: 3600 loss: 0.920, acc: 75.9600
2024-02-29 23:01:04,860 - INFO - epoch: 1, batch: 3700 loss: 0.924, acc: 75.3700
2024-02-29 23:01:22,078 - INFO - epoch: 1, batch: 3800 loss: 0.870, acc: 76.8900
2024-02-29 23:01:40,717 - INFO - epoch: 1, batch: 3900 loss: 0.900, acc: 75.7200
2024-02-29 23:01:58,705 - INFO - epoch: 1, batch: 4000 loss: 0.892, acc: 76.5100
2024-02-29 23:02:15,312 - INFO - epoch: 1, batch: 4100 loss: 0.867, acc: 77.5200
2024-02-29 23:02:33,838 - INFO - epoch: 1, batch: 4200 loss: 0.874, acc: 76.5700
2024-02-29 23:02:52,443 - INFO - epoch: 1, batch: 4300 loss: 0.816, acc: 78.4100
2024-02-29 23:03:08,924 - INFO - epoch: 1, batch: 4400 loss: 0.858, acc: 77.2500
2024-02-29 23:03:27,127 - INFO - epoch: 1, batch: 4500 loss: 0.844, acc: 77.9200
2024-02-29 23:03:45,783 - INFO - epoch: 1, batch: 4600 loss: 0.803, acc: 78.8600
2024-02-29 23:04:02,514 - INFO - epoch 1 的平均loss为1.218，平均acc为68.7382...
2024-02-29 23:04:02,514 - INFO - epoch 1 开始验证...
2024-02-29 23:08:29,463 - INFO - 第1个epoch的识别准确率为：75%
2024-02-29 23:08:49,489 - INFO - epoch: 2, batch: 100 loss: 0.699, acc: 81.3000
2024-02-29 23:09:08,103 - INFO - epoch: 2, batch: 200 loss: 0.700, acc: 81.8400
2024-02-29 23:09:24,882 - INFO - epoch: 2, batch: 300 loss: 0.675, acc: 81.8400
2024-02-29 23:09:43,738 - INFO - epoch: 2, batch: 400 loss: 0.697, acc: 81.6800
2024-02-29 23:10:02,192 - INFO - epoch: 2, batch: 500 loss: 0.689, acc: 81.4800
2024-02-29 23:10:18,745 - INFO - epoch: 2, batch: 600 loss: 0.655, acc: 82.5500
2024-02-29 23:10:36,581 - INFO - epoch: 2, batch: 700 loss: 0.688, acc: 81.2100
2024-02-29 23:10:55,020 - INFO - epoch: 2, batch: 800 loss: 0.645, acc: 82.2700
2024-02-29 23:11:12,624 - INFO - epoch: 2, batch: 900 loss: 0.658, acc: 81.9900
2024-02-29 23:11:29,570 - INFO - epoch: 2, batch: 1000 loss: 0.635, acc: 82.6400
2024-02-29 23:11:48,237 - INFO - epoch: 2, batch: 1100 loss: 0.673, acc: 81.4600
2024-02-29 23:12:07,176 - INFO - epoch: 2, batch: 1200 loss: 0.666, acc: 82.4700
2024-02-29 23:12:24,217 - INFO - epoch: 2, batch: 1300 loss: 0.624, acc: 82.7500
2024-02-29 23:12:42,622 - INFO - epoch: 2, batch: 1400 loss: 0.633, acc: 82.8800
2024-02-29 23:13:01,334 - INFO - epoch: 2, batch: 1500 loss: 0.658, acc: 82.2300
2024-02-29 23:13:19,057 - INFO - epoch: 2, batch: 1600 loss: 0.650, acc: 83.0000
2024-02-29 23:13:36,226 - INFO - epoch: 2, batch: 1700 loss: 0.646, acc: 82.3700
2024-02-29 23:13:55,052 - INFO - epoch: 2, batch: 1800 loss: 0.638, acc: 82.8000
2024-02-29 23:14:13,710 - INFO - epoch: 2, batch: 1900 loss: 0.634, acc: 82.7500
2024-02-29 23:14:30,449 - INFO - epoch: 2, batch: 2000 loss: 0.620, acc: 83.1700
2024-02-29 23:14:48,696 - INFO - epoch: 2, batch: 2100 loss: 0.615, acc: 83.4800
2024-02-29 23:15:07,313 - INFO - epoch: 2, batch: 2200 loss: 0.635, acc: 82.0800
2024-02-29 23:15:24,914 - INFO - epoch: 2, batch: 2300 loss: 0.626, acc: 82.8700
2024-02-29 23:15:41,994 - INFO - epoch: 2, batch: 2400 loss: 0.600, acc: 83.5300
2024-02-29 23:16:00,521 - INFO - epoch: 2, batch: 2500 loss: 0.622, acc: 83.3000
2024-02-29 23:16:18,929 - INFO - epoch: 2, batch: 2600 loss: 0.604, acc: 83.5200
2024-02-29 23:16:35,046 - INFO - epoch: 2, batch: 2700 loss: 0.609, acc: 82.9500
2024-02-29 23:16:53,605 - INFO - epoch: 2, batch: 2800 loss: 0.607, acc: 83.4500
2024-02-29 23:17:12,033 - INFO - epoch: 2, batch: 2900 loss: 0.600, acc: 84.1200
2024-02-29 23:17:29,034 - INFO - epoch: 2, batch: 3000 loss: 0.562, acc: 84.8400
2024-02-29 23:17:46,486 - INFO - epoch: 2, batch: 3100 loss: 0.601, acc: 83.4700
2024-02-29 23:18:04,973 - INFO - epoch: 2, batch: 3200 loss: 0.608, acc: 83.8100
2024-02-29 23:18:22,792 - INFO - epoch: 2, batch: 3300 loss: 0.584, acc: 84.4200
2024-02-29 23:18:39,535 - INFO - epoch: 2, batch: 3400 loss: 0.585, acc: 84.1200
2024-02-29 23:18:58,397 - INFO - epoch: 2, batch: 3500 loss: 0.581, acc: 83.8900
2024-02-29 23:19:16,860 - INFO - epoch: 2, batch: 3600 loss: 0.575, acc: 84.4200
2024-02-29 23:19:33,248 - INFO - epoch: 2, batch: 3700 loss: 0.572, acc: 84.3200
2024-02-29 23:19:51,034 - INFO - epoch: 2, batch: 3800 loss: 0.587, acc: 83.9400
2024-02-29 23:20:09,317 - INFO - epoch: 2, batch: 3900 loss: 0.567, acc: 84.3000
2024-02-29 23:20:26,170 - INFO - epoch: 2, batch: 4000 loss: 0.582, acc: 84.4200
2024-02-29 23:20:43,736 - INFO - epoch: 2, batch: 4100 loss: 0.586, acc: 84.2000
2024-02-29 23:21:01,961 - INFO - epoch: 2, batch: 4200 loss: 0.542, acc: 85.0900
2024-02-29 23:21:19,715 - INFO - epoch: 2, batch: 4300 loss: 0.564, acc: 84.9800
2024-02-29 23:21:36,153 - INFO - epoch: 2, batch: 4400 loss: 0.565, acc: 84.6700
2024-02-29 23:21:54,319 - INFO - epoch: 2, batch: 4500 loss: 0.542, acc: 85.3000
2024-02-29 23:22:12,497 - INFO - epoch: 2, batch: 4600 loss: 0.558, acc: 85.0200
2024-02-29 23:22:27,528 - INFO - epoch 2 的平均loss为0.618，平均acc为83.2752...
2024-02-29 23:22:27,528 - INFO - epoch 2 开始验证...
2024-02-29 23:26:51,321 - INFO - 第2个epoch的识别准确率为：81%
2024-02-29 23:27:11,583 - INFO - epoch: 3, batch: 100 loss: 0.442, acc: 87.6800
2024-02-29 23:27:30,069 - INFO - epoch: 3, batch: 200 loss: 0.435, acc: 88.3700
2024-02-29 23:27:49,551 - INFO - epoch: 3, batch: 300 loss: 0.424, acc: 88.6300
2024-02-29 23:28:08,877 - INFO - epoch: 3, batch: 400 loss: 0.444, acc: 87.7700
2024-02-29 23:28:29,846 - INFO - epoch: 3, batch: 500 loss: 0.447, acc: 88.0800
2024-02-29 23:28:51,533 - INFO - epoch: 3, batch: 600 loss: 0.436, acc: 87.6500
2024-02-29 23:29:12,922 - INFO - epoch: 3, batch: 700 loss: 0.439, acc: 88.1800
2024-02-29 23:29:35,173 - INFO - epoch: 3, batch: 800 loss: 0.423, acc: 88.0300
2024-02-29 23:29:57,185 - INFO - epoch: 3, batch: 900 loss: 0.454, acc: 87.5100
2024-02-29 23:30:19,133 - INFO - epoch: 3, batch: 1000 loss: 0.440, acc: 88.1200
2024-02-29 23:30:40,890 - INFO - epoch: 3, batch: 1100 loss: 0.453, acc: 87.3700
2024-02-29 23:31:03,838 - INFO - epoch: 3, batch: 1200 loss: 0.447, acc: 88.0800
2024-02-29 23:31:25,311 - INFO - epoch: 3, batch: 1300 loss: 0.454, acc: 87.7500
2024-02-29 23:31:46,182 - INFO - epoch: 3, batch: 1400 loss: 0.427, acc: 88.2500
2024-02-29 23:32:07,476 - INFO - epoch: 3, batch: 1500 loss: 0.452, acc: 87.6200
2024-02-29 23:32:28,929 - INFO - epoch: 3, batch: 1600 loss: 0.448, acc: 87.3400
2024-02-29 23:32:50,662 - INFO - epoch: 3, batch: 1700 loss: 0.458, acc: 87.1600
2024-02-29 23:33:13,048 - INFO - epoch: 3, batch: 1800 loss: 0.438, acc: 87.7200
2024-02-29 23:33:36,155 - INFO - epoch: 3, batch: 1900 loss: 0.444, acc: 87.5700
2024-02-29 23:33:59,242 - INFO - epoch: 3, batch: 2000 loss: 0.453, acc: 87.4900
2024-02-29 23:34:21,955 - INFO - epoch: 3, batch: 2100 loss: 0.455, acc: 87.6400
2024-02-29 23:34:44,633 - INFO - epoch: 3, batch: 2200 loss: 0.432, acc: 87.7700
2024-02-29 23:35:07,237 - INFO - epoch: 3, batch: 2300 loss: 0.435, acc: 88.1500
2024-02-29 23:35:29,862 - INFO - epoch: 3, batch: 2400 loss: 0.458, acc: 87.1300
2024-02-29 23:35:53,025 - INFO - epoch: 3, batch: 2500 loss: 0.458, acc: 87.7000
2024-02-29 23:36:16,269 - INFO - epoch: 3, batch: 2600 loss: 0.448, acc: 87.4300
2024-02-29 23:36:39,218 - INFO - epoch: 3, batch: 2700 loss: 0.436, acc: 88.0100
2024-02-29 23:37:02,425 - INFO - epoch: 3, batch: 2800 loss: 0.440, acc: 87.9000
2024-02-29 23:37:25,655 - INFO - epoch: 3, batch: 2900 loss: 0.414, acc: 88.1400
2024-02-29 23:37:48,333 - INFO - epoch: 3, batch: 3000 loss: 0.427, acc: 87.9800
2024-02-29 23:38:18,343 - INFO - epoch: 3, batch: 3100 loss: 0.433, acc: 88.3000
2024-02-29 23:38:54,988 - INFO - epoch: 3, batch: 3200 loss: 0.459, acc: 87.5900
2024-02-29 23:39:29,079 - INFO - epoch: 3, batch: 3300 loss: 0.413, acc: 88.5400
2024-02-29 23:40:03,082 - INFO - epoch: 3, batch: 3400 loss: 0.441, acc: 88.0700
2024-02-29 23:40:38,382 - INFO - epoch: 3, batch: 3500 loss: 0.438, acc: 87.8500
2024-02-29 23:41:12,632 - INFO - epoch: 3, batch: 3600 loss: 0.433, acc: 88.3100
2024-02-29 23:41:47,007 - INFO - epoch: 3, batch: 3700 loss: 0.417, acc: 88.6200
2024-02-29 23:42:18,922 - INFO - epoch: 3, batch: 3800 loss: 0.422, acc: 88.1400
2024-02-29 23:42:41,935 - INFO - epoch: 3, batch: 3900 loss: 0.413, acc: 88.2600
2024-02-29 23:43:04,909 - INFO - epoch: 3, batch: 4000 loss: 0.441, acc: 88.0600
2024-02-29 23:43:28,763 - INFO - epoch: 3, batch: 4100 loss: 0.436, acc: 88.1700
2024-02-29 23:43:52,416 - INFO - epoch: 3, batch: 4200 loss: 0.432, acc: 88.1900
2024-02-29 23:44:16,077 - INFO - epoch: 3, batch: 4300 loss: 0.422, acc: 88.6300
2024-02-29 23:44:39,644 - INFO - epoch: 3, batch: 4400 loss: 0.417, acc: 88.5800
2024-02-29 23:45:09,153 - INFO - epoch: 3, batch: 4500 loss: 0.399, acc: 88.9000
2024-02-29 23:45:46,841 - INFO - epoch: 3, batch: 4600 loss: 0.424, acc: 88.5400
2024-02-29 23:46:34,400 - INFO - epoch 3 的平均loss为0.437，平均acc为87.9868...
2024-02-29 23:46:34,403 - INFO - epoch 3 开始验证...
2024-02-29 23:52:30,703 - INFO - 第3个epoch的识别准确率为：83%
2024-02-29 23:52:51,865 - INFO - epoch: 4, batch: 100 loss: 0.321, acc: 91.0900
2024-02-29 23:53:12,031 - INFO - epoch: 4, batch: 200 loss: 0.327, acc: 90.7300
2024-02-29 23:53:32,044 - INFO - epoch: 4, batch: 300 loss: 0.315, acc: 90.8600
2024-02-29 23:53:51,858 - INFO - epoch: 4, batch: 400 loss: 0.319, acc: 91.1500
2024-02-29 23:54:10,380 - INFO - epoch: 4, batch: 500 loss: 0.320, acc: 90.9000
2024-02-29 23:54:29,601 - INFO - epoch: 4, batch: 600 loss: 0.339, acc: 90.7600
2024-02-29 23:54:49,933 - INFO - epoch: 4, batch: 700 loss: 0.319, acc: 90.8700
2024-02-29 23:55:09,369 - INFO - epoch: 4, batch: 800 loss: 0.350, acc: 90.4200
2024-02-29 23:55:31,100 - INFO - epoch: 4, batch: 900 loss: 0.333, acc: 90.9500
2024-02-29 23:55:53,504 - INFO - epoch: 4, batch: 1000 loss: 0.316, acc: 90.9800
2024-02-29 23:56:15,775 - INFO - epoch: 4, batch: 1100 loss: 0.344, acc: 90.4900
2024-02-29 23:56:38,226 - INFO - epoch: 4, batch: 1200 loss: 0.343, acc: 90.1300
2024-02-29 23:57:00,468 - INFO - epoch: 4, batch: 1300 loss: 0.331, acc: 90.7200
2024-02-29 23:57:22,642 - INFO - epoch: 4, batch: 1400 loss: 0.341, acc: 90.3700
2024-02-29 23:57:44,739 - INFO - epoch: 4, batch: 1500 loss: 0.330, acc: 90.5400
2024-02-29 23:58:06,962 - INFO - epoch: 4, batch: 1600 loss: 0.342, acc: 91.0100
2024-02-29 23:58:29,241 - INFO - epoch: 4, batch: 1700 loss: 0.326, acc: 91.0700
2024-02-29 23:58:51,379 - INFO - epoch: 4, batch: 1800 loss: 0.344, acc: 90.2300
2024-02-29 23:59:13,517 - INFO - epoch: 4, batch: 1900 loss: 0.329, acc: 91.1200
2024-02-29 23:59:35,375 - INFO - epoch: 4, batch: 2000 loss: 0.353, acc: 90.3200
2024-02-29 23:59:57,711 - INFO - epoch: 4, batch: 2100 loss: 0.338, acc: 90.6200
2024-03-01 00:00:19,574 - INFO - epoch: 4, batch: 2200 loss: 0.335, acc: 90.4700
2024-03-01 00:00:41,773 - INFO - epoch: 4, batch: 2300 loss: 0.326, acc: 91.3400
2024-03-01 00:01:03,795 - INFO - epoch: 4, batch: 2400 loss: 0.339, acc: 90.3400
2024-03-01 00:01:25,724 - INFO - epoch: 4, batch: 2500 loss: 0.344, acc: 90.3300
2024-03-01 00:01:47,751 - INFO - epoch: 4, batch: 2600 loss: 0.360, acc: 89.8600
2024-03-01 00:02:09,640 - INFO - epoch: 4, batch: 2700 loss: 0.343, acc: 90.3900
2024-03-01 00:02:31,760 - INFO - epoch: 4, batch: 2800 loss: 0.352, acc: 90.2400
2024-03-01 00:02:53,679 - INFO - epoch: 4, batch: 2900 loss: 0.342, acc: 89.9400
2024-03-01 00:03:15,818 - INFO - epoch: 4, batch: 3000 loss: 0.332, acc: 90.6700
2024-03-01 00:03:37,715 - INFO - epoch: 4, batch: 3100 loss: 0.337, acc: 90.7400
2024-03-01 00:03:59,772 - INFO - epoch: 4, batch: 3200 loss: 0.363, acc: 89.8500
2024-03-01 00:04:22,134 - INFO - epoch: 4, batch: 3300 loss: 0.343, acc: 90.1400
2024-03-01 00:04:44,500 - INFO - epoch: 4, batch: 3400 loss: 0.339, acc: 90.8300
2024-03-01 00:05:06,645 - INFO - epoch: 4, batch: 3500 loss: 0.330, acc: 90.7400
2024-03-01 00:05:28,714 - INFO - epoch: 4, batch: 3600 loss: 0.347, acc: 90.0100
2024-03-01 00:05:50,738 - INFO - epoch: 4, batch: 3700 loss: 0.329, acc: 90.4500
2024-03-01 00:06:12,444 - INFO - epoch: 4, batch: 3800 loss: 0.329, acc: 90.9400
2024-03-01 00:06:34,260 - INFO - epoch: 4, batch: 3900 loss: 0.340, acc: 90.6900
2024-03-01 00:06:56,180 - INFO - epoch: 4, batch: 4000 loss: 0.336, acc: 90.3300
2024-03-01 00:07:17,949 - INFO - epoch: 4, batch: 4100 loss: 0.331, acc: 90.6100
2024-03-01 00:07:39,547 - INFO - epoch: 4, batch: 4200 loss: 0.334, acc: 90.4900
2024-03-01 00:08:01,319 - INFO - epoch: 4, batch: 4300 loss: 0.336, acc: 90.6300
2024-03-01 00:08:22,982 - INFO - epoch: 4, batch: 4400 loss: 0.346, acc: 90.3400
2024-03-01 00:08:44,665 - INFO - epoch: 4, batch: 4500 loss: 0.346, acc: 90.2600
2024-03-01 00:09:06,340 - INFO - epoch: 4, batch: 4600 loss: 0.343, acc: 90.1500
2024-03-01 00:09:27,063 - INFO - epoch 4 的平均loss为0.337，平均acc为90.5633...
2024-03-01 00:09:27,064 - INFO - epoch 4 开始验证...
2024-03-01 00:14:08,685 - INFO - 第4个epoch的识别准确率为：85%
2024-03-01 00:14:31,651 - INFO - epoch: 5, batch: 100 loss: 0.262, acc: 92.6900
2024-03-01 00:14:53,840 - INFO - epoch: 5, batch: 200 loss: 0.257, acc: 92.5900
2024-03-01 00:15:15,665 - INFO - epoch: 5, batch: 300 loss: 0.256, acc: 92.9300
2024-03-01 00:15:37,564 - INFO - epoch: 5, batch: 400 loss: 0.251, acc: 93.0300
2024-03-01 00:15:59,227 - INFO - epoch: 5, batch: 500 loss: 0.255, acc: 92.9400
2024-03-01 00:16:21,050 - INFO - epoch: 5, batch: 600 loss: 0.267, acc: 92.4000
2024-03-01 00:16:43,009 - INFO - epoch: 5, batch: 700 loss: 0.263, acc: 92.4700
2024-03-01 00:17:04,858 - INFO - epoch: 5, batch: 800 loss: 0.259, acc: 92.5700
2024-03-01 00:17:26,857 - INFO - epoch: 5, batch: 900 loss: 0.275, acc: 92.3000
2024-03-01 00:17:48,770 - INFO - epoch: 5, batch: 1000 loss: 0.261, acc: 92.3700
2024-03-01 00:18:10,270 - INFO - epoch: 5, batch: 1100 loss: 0.273, acc: 92.4200
2024-03-01 00:18:32,037 - INFO - epoch: 5, batch: 1200 loss: 0.261, acc: 92.4900
2024-03-01 00:18:53,692 - INFO - epoch: 5, batch: 1300 loss: 0.279, acc: 92.1400
2024-03-01 00:19:15,302 - INFO - epoch: 5, batch: 1400 loss: 0.280, acc: 91.9700
2024-03-01 00:19:36,878 - INFO - epoch: 5, batch: 1500 loss: 0.270, acc: 92.4300
2024-03-01 00:19:58,401 - INFO - epoch: 5, batch: 1600 loss: 0.264, acc: 92.2600
2024-03-01 00:20:19,773 - INFO - epoch: 5, batch: 1700 loss: 0.284, acc: 92.4000
2024-03-01 00:20:41,220 - INFO - epoch: 5, batch: 1800 loss: 0.284, acc: 92.0300
2024-03-01 00:21:02,694 - INFO - epoch: 5, batch: 1900 loss: 0.267, acc: 92.4800
2024-03-01 00:21:24,065 - INFO - epoch: 5, batch: 2000 loss: 0.275, acc: 92.4700
2024-03-01 00:21:45,329 - INFO - epoch: 5, batch: 2100 loss: 0.268, acc: 92.2800
2024-03-01 00:22:07,065 - INFO - epoch: 5, batch: 2200 loss: 0.271, acc: 92.3100
2024-03-01 00:22:28,345 - INFO - epoch: 5, batch: 2300 loss: 0.258, acc: 92.7700
2024-03-01 00:22:49,918 - INFO - epoch: 5, batch: 2400 loss: 0.283, acc: 92.0900
2024-03-01 00:23:11,369 - INFO - epoch: 5, batch: 2500 loss: 0.274, acc: 92.1700
2024-03-01 00:23:32,814 - INFO - epoch: 5, batch: 2600 loss: 0.266, acc: 92.6600
2024-03-01 00:23:54,267 - INFO - epoch: 5, batch: 2700 loss: 0.275, acc: 92.3700
2024-03-01 00:24:15,526 - INFO - epoch: 5, batch: 2800 loss: 0.279, acc: 92.3300
2024-03-01 00:24:37,026 - INFO - epoch: 5, batch: 2900 loss: 0.271, acc: 92.3800
2024-03-01 00:24:58,482 - INFO - epoch: 5, batch: 3000 loss: 0.275, acc: 92.4600
2024-03-01 00:25:19,795 - INFO - epoch: 5, batch: 3100 loss: 0.293, acc: 91.7200
2024-03-01 00:25:41,008 - INFO - epoch: 5, batch: 3200 loss: 0.285, acc: 92.1400
